catalyst,AB,YB,AB_synth,YB_synth
A4Y9B1,A4B1,Y9B1,0,0
A5Y9B1,A5B1,Y9B1,2,0
A7Y9B1,A7B1,Y9B1,0,0
A8Y9B1,A8B1,Y9B1,2,0
A9Y9B1,A9B1,Y9B1,2,0
A1Y9B2,A1B2,Y9B2,0,2
A10Y9B2,A10B2,Y9B2,6,2
A11Y9B2,A11B2,Y9B2,2,2
A12Y9B2,A12B2,Y9B2,6,2
A13Y9B2,A13B2,Y9B2,2,2
A14Y9B2,A14B2,Y9B2,2,2
A15Y9B2,A15B2,Y9B2,10,2
A16Y9B2,A16B2,Y9B2,2,2
A2Y9B2,A2B2,Y9B2,0,2
A3Y9B2,A3B2,Y9B2,0,2
A4Y9B2,A4B2,Y9B2,2,2
A5Y9B2,A5B2,Y9B2,2,2
A6Y9B2,A6B2,Y9B2,2,2
A7Y9B2,A7B2,Y9B2,2,2
A8Y9B2,A8B2,Y9B2,2,2
A9Y9B2,A9B2,Y9B2,2,2
A1Y9B3,A1B3,Y9B3,0,2
A10Y9B3,A10B3,Y9B3,6,2
A11Y9B3,A11B3,Y9B3,2,2
A12Y9B3,A12B3,Y9B3,6,2
A13Y9B3,A13B3,Y9B3,2,2
A14Y9B3,A14B3,Y9B3,2,2
A15Y9B3,A15B3,Y9B3,10,2
A16Y9B3,A16B3,Y9B3,2,2
A2Y9B3,A2B3,Y9B3,0,2
A3Y9B3,A3B3,Y9B3,0,2
A4Y9B3,A4B3,Y9B3,2,2
A5Y9B3,A5B3,Y9B3,2,2
A6Y9B3,A6B3,Y9B3,2,2
A7Y9B3,A7B3,Y9B3,2,2
A8Y9B3,A8B3,Y9B3,2,2
A9Y9B3,A9B3,Y9B3,2,2
